iteration,loss
20,-0.5781
30,-1.9609
40,-1.1094
50,-1.7266
60,-0.9961
70,-0.8242
80,-0.9414
90,-0.1514
100,-0.293
110,0.0064
120,-0.9609
130,-1.4453
140,-1.3516
150,0.4727
160,-0.4863
170,-1.4766
180,-0.5039
190,-1.2734
200,-1.4141
210,-0.1621
220,-0.2773
230,-0.957
240,-1.1328
250,-1.2656
260,-1.5312
270,-0.7266
280,1.1875
290,-1.7656
300,0.1816
310,-0.1572
320,-0.9219
330,-1.2344
340,-1.5078
350,-0.5195
360,-0.3984
370,-0.5391
380,-0.9766
390,-1.6953
400,-1.8438
410,-0.7695
420,-0.8789
430,-1.3516
440,-1.3828
450,-0.9141
460,-1.1562
470,-1.3594
480,-1.3281
490,-1.2031
500,-0.7656
510,-1.1953
520,-0.459
530,-1.2656
540,-0.2715
550,-1.0156
560,-0.3418
570,-0.6992
580,-0.3672
590,0.1992
600,1.2031
610,-1.4062
620,0.5781
630,-1.4375
640,-0.9766
650,-1.1328
660,0.6406
670,-1.3359
680,-1.7266
690,-1.4141
700,-0.4688
710,-0.1172
720,-0.6328
730,-1.3984
740,-1.125
750,-0.8203
760,-1.2891
770,-0.9492
780,-1.0391
790,-1.0859
800,-1.1328
810,-0.4316
820,-1.2578
830,-1.3281
840,-0.5117
850,-1.1172
860,-1.4375
870,-1.4219
880,-0.7773
890,-0.4844
900,-0.9414
910,-0.9492
920,-1.5781
930,-1.4531
940,-0.5508
950,-0.3418
960,-0.3652
970,-0.2812
980,-1.2031
990,-0.7578
1000,-0.9258
1010,0.8633
1020,-0.8047
1030,-1.125
1040,-1.3516
1050,0.0542
1060,-1.7109
1070,-1.1953
1080,-1.3828
1090,-1.0234
1100,-1.3203
1110,-1.4531
1120,-0.25
1130,-0.5117
1140,-0.4727
1150,-0.582
1160,-1.0469
1170,-0.4043
1180,-1.2969
1190,-0.0723
1200,-1.1016
1210,-0.6445
1220,-1.1719
1230,-0.9648
1240,-0.6016
1250,-1.8906
1260,-0.8477
1270,-1.3828
1280,-1.3125
1290,-1.3281
1300,-1.0859
1310,-1.0547
1320,0.7344
1330,-1.0547
1340,-1.1484
1350,-1.1328
1360,-0.918
1370,-1.2656
1380,-1.4766
1390,-1.9297
1400,-0.1084
1410,-1.1875
1420,-0.7695
1430,-0.4883
1440,-1.5859
1450,-0.2002
1460,-0.4453
1470,-0.6133
1480,-0.6211
1490,-1.4375
1500,-0.8281
1510,-1.3125
1520,0.5586
1530,-0.707
1540,-1.9688
1550,-0.7305
1560,0.5664
1570,-1.1875
1580,-1.0078
1590,-1.3203
1600,-0.9375
1610,-0.7422
1620,-1.25
1630,-0.5742
1640,-0.9492
1650,-0.8945
1660,-0.5078
1670,-1.1641
1680,-1.2188
1690,-1.3906
1700,-0.6211
1710,-0.0918
1720,-0.7461
1730,-0.8906
1740,-0.9023
1750,-1.3203
1760,-0.3242
1770,-1.1641
1780,-0.4238
1790,-1.2188
1800,-1.3828
1810,-0.5664
1820,-0.3828
1830,-1.4922
1840,-1.4453
1850,-1.1719
1860,-1.3906
1870,-0.7188
1880,-1.4766
1890,-0.793
1900,-0.3848
1910,-0.9688
1920,-1.4297
1930,-1.3047
1940,-0.6055
1950,0.4805
1960,-0.9023
1970,-1.0938
1980,-1.2891
1990,0.1689
2000,-1.1484
2010,-0.7773
2020,-0.0659
2030,-0.9883
2040,-1.3672
2050,-1.3984
2060,-0.9102
2070,-0.9531
2080,-0.2852
2090,-1.8281
2100,-0.8281
2110,-1.6953
2120,-1.4375
2130,-1.6641
2140,-1.5156
2150,-1.0
2160,-1.3828
2170,-1.7422
2180,-0.0483
2190,-0.8711
2200,-0.4297
2210,-1.1172
2220,-0.9023
2230,-0.3438
2240,-1.5312
2250,-0.3867
2260,-1.3672
2270,-1.2422
2280,-1.2344
2290,-0.8438
2300,-1.1172
2310,-1.1562
2320,-0.9805
2330,-0.5625
2340,-0.5586
2350,0.2949
2360,-1.1641
2370,-1.2578
2380,-0.8672
2390,-1.6562
2400,-1.0234
2410,-1.0
2420,-1.125
2430,-0.7617
2440,-0.6328
2450,-1.2266
2460,-0.6602
2470,-0.8984
2480,-0.5352
2490,-0.8281
2500,-0.7227
2510,-1.1797
2520,-1.5078
2530,-1.0703
2540,-1.0156
2550,-1.1172
2560,-0.9727
2570,-1.2656
2580,-0.8242
2590,-1.3828
2600,-0.957
2610,-1.0781
2620,-1.4453
2630,-0.9805
2640,-0.7617
2650,-1.0703
2660,-1.3047
2670,-1.3828
2680,-0.8125
2690,-0.2256
2700,-1.2031
2710,-1.7188
2720,-1.3281
2730,-1.5469
2740,-0.9492
2750,0.5742
2760,-0.5156
2770,-1.0312
2780,-0.8945
2790,-1.1484
2800,-1.2188
2810,-1.4609
2820,-1.1172
2830,-0.8359
2840,-1.2891
2850,-1.9688
2860,-0.4141
2870,-1.2344
2880,-0.8281
2890,-1.3828
2900,-1.4922
2910,-0.7773
2920,-0.2715
2930,-1.2031
2940,-0.9336
2950,-0.6484
2960,-1.0469
2970,-0.4336
2980,0.8672
2990,-0.7539
3000,-1.0312
